School,卡片類型,卡片編號,卡片名稱,時機點,稀有度,位置,發球,攔網,接球,托球,攻擊,完整技能,注釋
青葉城西,CHARACTER,HV-PR-007,及川 徹,-,P,S,4,2,0,2,1,-,-
青葉城西,CHARACTER,HV-P01-034,及川 徹,"登場,發球,舉球",R,S,5,0,0,1,0,支付1點Guts來使用。若支付的卡是青葉城西，則對手將手牌全部收回牌組、洗牌，然後抽6張卡。,-
青葉城西,CHARACTER,HV-P01-033,及川 徹,"登場,發球,舉球",頂,S,5,0,0,1,0,從自己的手牌將1枚<青葉城西>的卡片棄掉則可使用。 這名角色的任意1個點數+1， 若對手的手牌在4枚以上，對手從手牌棄掉1張卡。,-
青葉城西,CHARACTER,HV-PR-008,岩泉 一,-,P,WS,4,1,4,0,3,-,-
青葉城西,CHARACTER,HV-P01-035,岩泉 一,"登場,攻擊",S,WS,1,3,1,0,2,從自己的手牌將1枚<青葉城西>的卡片棄掉則可使用。 這名角色的攻擊點數+2， 若對手的手牌在4枚以下，在下一個對手的回合中，對手無法透過技能將卡片加入手牌。,-
青葉城西,CHARACTER,HV-P01-036,金田一 勇太郎,-,N,MB,3,3,2,0,3,-,-
青葉城西,CHARACTER,HV-P01-037,松川 一静,"登場,攔網",N,MB,1,3,1,0,2,對手的進攻點數在8以上時，若支付1 Guts則可使用。 立即結束攔網階段，進入自己的抽牌階段。 此外，在這個回合中，自己的<青葉城西>接球角色每次登場時，該角色的接球點數+3。,-
青葉城西,CHARACTER,HV-P01-038,花巻 貴大,-,N,WS,1,2,5,0,2,-,-
青葉城西,CHARACTER,HV-P01-039,渡 親治,"登場,接球",N,Li,-,-,5,1,0,對手的進攻點數在6以上時，若從自己的手牌將1枚<青葉城西>的卡片棄掉則可使用。 這名角色的接球點數+1， 若自己所有的角色皆為<青葉城西>，則抽1張卡。,-
青葉城西,CHARACTER,HV-P01-040,矢巾 秀,-,N,S,2,1,3,2,2,-,-
青葉城西,CHARACTER,HV-P01-041,国見 英,"登場,攻擊",R,WS,1,0,5,0,0,若自己所有的角色皆為<青葉城西>，且對手的手牌在3枚以下，支付1 Guts則可使用。[=虛攻(4)]する。,[=虛攻(N)]：這個回合結束時，自己的進攻點數變為N。在下一個對手的回合中，對手無法登場攔網角色。
青葉城西,CHARACTER,HV-P01-042,京谷 賢太郎,-,R,WS,5,0,4,0,3,-,-
青葉城西,CHARACTER,HV-PR-015,及川・岩泉,登場,P,S/WS,2,1,1,1,1,將這張卡的卡名變為「及川 徹」或「岩泉 一」。,(登場時所選擇的卡名，直到該回合結束時為止都有效。這張卡在計算場上角色數量時，視為1人)
青葉城西,CHARACTER,HV-PR-009,及川・岩泉,登場,P,S/WS,5,0,0,1,0,將這張卡的卡名變為「及川 徹」或「岩泉 一」。,(登場時所選擇的卡名，直到該回合結束時為止都有效。這張卡在計算場上角色數量時，視為1人)
青葉城西,CHARACTER,HV-P02-056,及川 徹,"登場, 舉球",S,S,1,2,1,1,0,支付3 Guts 發動效果。此角色托球值+2，自己棄牌區的最多1張「岩泉 一」加入手牌。,
青葉城西,CHARACTER,HV-P02-057,岩泉 一,"登場, 接球",R,WS,1,2,1,0,3,對手手牌3張或以下時，支付3 Guts 發動效果。此角色接球值+7。,
青葉城西,CHARACTER,HV-P02-058,国見 英,"登場, 接球",R,WS,1,0,5,0,0,支付2 Guts 發動效果。自己手牌抽至3張。,
青葉城西,CHARACTER,HV-P02-059,京谷 賢太郎,-,N,WS,2,2,4,0,3,-,-
青葉城西,CHARACTER,HV-PR-024,及川 徹,"登場, 舉球",P,S,1,1,1,1,2,你可以支付 3 Guts 發動。此角色的托球值+2，你的對手將全部手牌洗回牌組，然後抽 4 張。,
青葉城西,CHARACTER,HV-PR-025,京谷 賢太郎,"登場, 攻擊",P,WS,2,2,2,0,2,如果你的托球角色是「及川 徹」，你可以支付3 Guts 發動。此角色的攻擊值+2，如果你的對手手牌有3張或更多，對手必須棄掉1張手牌。,
烏野,CHARACTER,HV-D01-001,日向 翔陽,"登場, 攻擊",D,MB,2,2,2,0,2,支付2 Guts即可使用。此角色的攻擊點數+2。,支付Guts...將此角色下方的卡片，依照指定數量放置到棄牌區。
烏野,CHARACTER,HV-D01-002,影山 飛雄,"登場, 舉球",D,S,1,1,2,1,1,支付2 Guts即可使用。此角色的舉球點數+2。,支付Guts...將此角色下方的卡片，依照指定數量放置到棄牌區。
烏野,CHARACTER,HV-D01-003,月島 蛍,"登場, 攔網",D,MB,1,3,1,0,2,對手的進攻點數為4以下時，支付1 Guts即可使用。抽1張卡。,支付Guts...將中央攔網手下方的卡片，依照指定數量放置到棄牌區。進攻點數...舉球角色的舉球點數與攻擊角色的攻擊點數的合計值。
烏野,CHARACTER,HV-D01-004,山口 忠,-,D,MB,5,3,3,0,1,-,-
烏野,CHARACTER,HV-D01-005,西谷 夕,"登場, 接球",D,Li,-,-,5,0,0,支付3 Guts即可使用。抽1張卡，此角色的接球點數+2。,支付Guts...將此角色下方的卡片，依照指定數量放置到棄牌區。
烏野,CHARACTER,HV-D01-006,田中 龍之介,-,D,WS,1,2,2,1,3,-,-
